name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Paenibacillus alvei	0	0	0	0	0	0
Paenibacillus hunanensis	0	0	1e-5	0	0	0
Paenibacillus swuensis	0	0	0	0	0	0
Paenibacillus crassostreae	0	0	0	0	0	0
Paenibacillus polymyxa	2e-5	0	6e-5	1e-5	0	3e-5
Paenibacillus lutimineralis	0	0	0	0	0	0
Paenibacillus yonginensis	0	0	1e-5	0	1e-5	0
Paenibacillus physcomitrellae	0	0	0	0	0	0
Paenibacillus urinalis	0	0	0	0	0	0
Paenibacillus jilunlii	0	0	0	0	0	0
Paenibacillus guangzhouensis	0	0	0	0	0	0
Brevibacillus sp. WF146	1e-5	0	1e-5	1e-5	0	2e-5
Brevibacillus ruminantium	0	0	1e-5	0	1e-5	1e-5
Brevibacillus brevis	1e-5	2e-5	2e-5	1e-5	1e-5	1e-5
Brevibacillus composti	0	0	1e-5	1e-5	1e-5	0
Brevibacillus marinus	0	0	0	0	0	0
Brevibacillus humidisoli	0	0	0	0	0	0
Brevibacillus choshinensis	0	0	0	0	0	0
Brevibacillus borstelensis	0	0	1e-5	0	0	0
Brevibacillus agri	1e-5	0	0	0	0	2e-5
Thermobacillus composti	2e-5	0	1e-5	0	0	4e-5
Cohnella sp. LGH	1e-5	0	1e-5	0	0	0
Cohnella herbarum	0	0	1e-5	0	0	0
Cohnella candidum	0	0	2e-5	1e-5	0	1e-5
Cohnella abietis	0	0	0	0	0	0
Saccharibacillus brassicae	1e-5	1e-5	1e-5	0	0	1e-5
Aneurinibacillus sp. B1	1e-5	0	1e-5	0	0	1e-5
Aneurinibacillus sp. Ricciae_BoGa-3	0	0	0	0	0	1e-5
Aneurinibacillus soli	0	0	1e-5	0	0	1e-5
Bacillus glycinifermentans	1e-5	0	0	1e-5	2e-5	1e-5
Bacillus velezensis	0	0	1e-5	0	0	1e-5
Bacillus atrophaeus	0	0	0	0	0	0
Bacillus paralicheniformis	0	0	1e-5	0	0	0
